,qb1a,qb2,qb5,qb4_3,qb4_5,qb7,qb8,qb9,d1,d10,d11,country,d25,d8,d63,d7
12215,Climate change,7.0,Yes,1,1,2,2,2,centro,Man,64,GB-UKM - United Kingdom,Large town,19,The middle class of society,con patner e figli
12216,The economic situation,7.0,No,2,1,1,1,1,non-posizionabile,Man,67,GB-UKM - United Kingdom,Rural area or village,15,The working class of society,con patner
12217,"Poverty, hunger and lack of drinking water",8.0,No,1,2,1,2,2,centro-sx,Man,83,GB-UKM - United Kingdom,Large town,14,The middle class of society,con patner
12218,Spread of infectious diseases,9.0,No,2,2,2,2,1,centro-dx,Man,49,GB-UKM - United Kingdom,Small or middle sized town,14,The lower middle class of society,single
12219,The economic situation,5.0,No,1,1,1,1,1,centro,Man,60,GB-UKM - United Kingdom,Large town,16,The working class of society,con patner
12220,Spread of infectious diseases,6.0,Yes,2,2,1,1,1,centro,Man,33,GB-UKM - United Kingdom,Small or middle sized town,18,dk,con patner e figli
12221,"Poverty, hunger and lack of drinking water",10.0,No,1,1,1,1,1,non-posizionabile,Woman,67,GB-UKM - United Kingdom,Large town,16,The working class of society,con patner
12222,"Poverty, hunger and lack of drinking water",10.0,No,2,1,1,2,1,centro,Woman,53,GB-UKM - United Kingdom,Small or middle sized town,21,The working class of society,single
12223,Armed conflicts,6.0,Yes,2,2,1,1,2,centro,Man,42,GB-UKM - United Kingdom,Small or middle sized town,19,The working class of society,con patner e figli
12224,"Poverty, hunger and lack of drinking water",10.0,Yes,2,1,1,1,1,sx,Woman,64,GB-UKM - United Kingdom,Large town,15,The middle class of society,single
12225,"Poverty, hunger and lack of drinking water",8.0,No,2,2,1,1,1,non-posizionabile,Woman,60,GB-UKM - United Kingdom,Rural area or village,16,The middle class of society,con patner e figli
12226,Climate change,10.0,No,1,1,1,1,1,centro,Woman,46,GB-UKM - United Kingdom,Large town,21,The working class of society,single
12227,Climate change,10.0,Yes,2,2,1,1,2,centro,Man,66,GB-UKM - United Kingdom,Large town,17,The working class of society,con patner
12228,The increasing global population,6.0,No,2,2,2,3,1,centro-sx,Man,70,GB-UKM - United Kingdom,Large town,70,The lower middle class of society,single
12229,"Poverty, hunger and lack of drinking water",6.0,No,1,1,1,3,2,centro,Woman,81,GB-UKM - United Kingdom,Rural area or village,15,The lower middle class of society,con patner
12230,"Poverty, hunger and lack of drinking water",9.0,No,2,2,1,1,2,centro,Man,32,GB-UKM - United Kingdom,Large town,21,The working class of society,single
12231,Climate change,10.0,No,2,1,1,2,2,centro,Man,60,GB-UKM - United Kingdom,Large town,24,The middle class of society,con patner e figli
12232,"Poverty, hunger and lack of drinking water",1.0,No,3,2,3,3,2,centro-sx,Man,87,GB-UKM - United Kingdom,Rural area or village,14,The working class of society,single
12233,"Poverty, hunger and lack of drinking water",8.0,No,2,1,1,2,2,centro,Woman,41,GB-UKM - United Kingdom,Large town,18,The working class of society,single con figli
12234,"Poverty, hunger and lack of drinking water",10.0,Yes,1,1,1,1,1,centro-sx,Man,29,GB-UKM - United Kingdom,Large town,24,The lower middle class of society,con patner e figli
12235,"Poverty, hunger and lack of drinking water",10.0,Yes,1,1,1,1,1,non-posizionabile,Woman,34,GB-UKM - United Kingdom,Large town,20,dk,con patner e figli
12236,Armed conflicts,7.0,Yes,1,2,1,1,1,centro,Man,47,GB-UKM - United Kingdom,Large town,24,The middle class of society,con patner e figli
12237,"Poverty, hunger and lack of drinking water",5.0,No,2,2,2,2,1,non-posizionabile,Man,32,GB-UKM - United Kingdom,Large town,25,The middle class of society,con patner
12238,Climate change,10.0,Yes,1,1,1,1,1,non-posizionabile,Woman,79,GB-UKM - United Kingdom,Rural area or village,18,None (SPONTANEOUS),single
12239,Climate change,10.0,Yes,2,2,1,1,1,centro-sx,Woman,82,GB-UKM - United Kingdom,Large town,24,The middle class of society,single
12240,Climate change,10.0,Yes,1,1,1,1,1,centro,Man,46,GB-UKM - United Kingdom,Rural area or village,22,The middle class of society,con patner e figli
12241,International terrorism,8.0,Yes,3,2,2,1,2,centro,Woman,57,GB-UKM - United Kingdom,Rural area or village,16,The middle class of society,con patner
12242,Climate change,9.0,No,1,1,1,1,2,centro,Man,46,GB-UKM - United Kingdom,Rural area or village,23,The middle class of society,con patner e figli
12243,Climate change,10.0,Yes,1,1,1,1,1,centro-sx,Woman,40,GB-UKM - United Kingdom,Rural area or village,25,The lower middle class of society,con patner
12244,Proliferation of nuclear weapons,10.0,Yes,1,1,1,2,1,centro-sx,Man,31,GB-UKM - United Kingdom,Rural area or village,23,The lower middle class of society,con patner e figli
12245,"Poverty, hunger and lack of drinking water",5.0,No,2,2,1,1,2,centro,Woman,80,GB-UKM - United Kingdom,Small or middle sized town,16,The working class of society,con patner
12246,Climate change,9.0,No,1,1,1,1,1,centro,Man,31,GB-UKM - United Kingdom,Small or middle sized town,22,The middle class of society,con patner
12247,Climate change,7.0,Yes,2,2,3,2,2,centro,Man,49,GB-UKM - United Kingdom,Rural area or village,16,The working class of society,single
12248,"Poverty, hunger and lack of drinking water",9.0,Yes,2,1,1,1,2,centro-sx,Woman,49,GB-UKM - United Kingdom,Small or middle sized town,18,The middle class of society,con patner e figli
12249,Spread of infectious diseases,10.0,No,1,1,1,2,1,centro,Woman,86,GB-UKM - United Kingdom,Large town,17,The middle class of society,single
12250,None (SPONTANEOUS),5.0,No,2,2,2,4,4,centro,Man,81,GB-UKM - United Kingdom,Large town,15,The working class of society,single
12251,Climate change,5.0,Yes,2,2,2,2,1,centro,Woman,56,GB-UKM - United Kingdom,Large town,18,The middle class of society,con patner
12252,Armed conflicts,8.0,Yes,2,2,2,1,1,centro,Man,79,GB-UKM - United Kingdom,Large town,14,The middle class of society,single
12253,Climate change,8.0,Yes,1,1,1,1,1,centro,Man,28,GB-UKM - United Kingdom,Large town,21,The lower middle class of society,single
12254,International terrorism,10.0,No,2,2,2,2,2,centro-sx,Woman,59,GB-UKM - United Kingdom,Large town,22,The lower middle class of society,single con figli
12255,The increasing global population,9.0,Yes,3,2,1,2,2,centro-sx,Man,56,GB-UKM - United Kingdom,Large town,19,The lower middle class of society,single
12256,Armed conflicts,9.0,Yes,2,2,1,1,1,sx,Woman,56,GB-UKM - United Kingdom,Large town,56,The working class of society,single
12257,Climate change,10.0,Yes,2,2,2,2,2,centro-sx,Woman,36,GB-UKM - United Kingdom,Small or middle sized town,19,The lower middle class of society,con patner e figli
12258,International terrorism,9.0,Yes,4,4,1,1,1,centro,Woman,31,GB-UKM - United Kingdom,Large town,24,The working class of society,con patner e figli
12259,Climate change,9.0,No,3,2,2,2,2,centro,Man,87,GB-UKM - United Kingdom,Large town,17,The working class of society,con patner
12260,Proliferation of nuclear weapons,7.0,No,2,1,1,1,1,centro-sx,Woman,42,GB-UKM - United Kingdom,Large town,25,The middle class of society,con patner e figli
12261,International terrorism,4.0,No,1,1,3,2,2,sx,Man,21,GB-UKM - United Kingdom,Large town,19,The working class of society,single
12262,Proliferation of nuclear weapons,8.0,No,3,4,1,1,2,centro,Man,27,GB-UKM - United Kingdom,Large town,18,The working class of society,single
12263,Armed conflicts,5.0,No,2,2,2,2,2,centro,Woman,17,GB-UKM - United Kingdom,Large town,0,The working class of society,single
12264,Climate change,10.0,Yes,2,2,1,1,1,sx,Man,56,GB-UKM - United Kingdom,Rural area or village,16,The working class of society,con patner
12265,Climate change,10.0,No,4,1,1,1,1,centro-sx,Man,83,GB-UKM - United Kingdom,Rural area or village,18,The middle class of society,con patner
12266,"Poverty, hunger and lack of drinking water",10.0,Yes,2,1,1,1,1,centro,Man,60,GB-UKM - United Kingdom,Rural area or village,45,The middle class of society,con patner e figli
12267,The increasing global population,10.0,Yes,2,1,1,1,1,centro-dx,Man,43,GB-UKM - United Kingdom,Rural area or village,16,The lower middle class of society,con patner e figli
12268,The economic situation,9.0,Yes,1,1,1,1,1,sx,Woman,38,GB-UKM - United Kingdom,Large town,21,The lower middle class of society,con patner e figli
12269,The increasing global population,7.0,Yes,1,2,1,1,1,sx,Woman,79,GB-UKM - United Kingdom,Large town,17,The working class of society,single
12270,Climate change,5.0,Yes,3,1,1,1,1,dx,Man,33,GB-UKM - United Kingdom,Large town,16,The middle class of society,con patner e figli
12271,Climate change,8.0,Yes,1,1,1,1,1,centro,Woman,54,GB-UKM - United Kingdom,Large town,17,dk,con patner
12272,Armed conflicts,4.0,No,2,2,1,1,1,centro,Man,35,GB-UKM - United Kingdom,Large town,18,The working class of society,single
12273,Armed conflicts,10.0,Yes,1,1,1,1,1,centro,Woman,70,GB-UKM - United Kingdom,Large town,16,The lower middle class of society,con patner
12274,Climate change,6.0,Yes,1,1,1,1,1,centro,Woman,33,GB-UKM - United Kingdom,Large town,22,None (SPONTANEOUS),con patner
12275,Climate change,8.0,Yes,2,2,1,1,2,centro-sx,Woman,73,GB-UKM - United Kingdom,Small or middle sized town,16,The lower middle class of society,single
12276,Climate change,10.0,Yes,2,2,1,1,1,centro,Woman,28,GB-UKM - United Kingdom,Large town,21,The upper middle class of society,single
12277,Armed conflicts,5.0,Yes,2,1,1,1,1,non-posizionabile,Man,60,GB-UKM - United Kingdom,Large town,19,The lower middle class of society,single
12278,"Poverty, hunger and lack of drinking water",9.0,Yes,1,4,1,1,1,sx,Man,32,GB-UKM - United Kingdom,Large town,20,The lower middle class of society,con patner
12279,"Poverty, hunger and lack of drinking water",7.0,No,1,1,2,2,1,centro,Woman,30,GB-UKM - United Kingdom,Large town,18,The working class of society,con patner
12280,Climate change,10.0,Yes,1,1,1,1,1,centro-sx,Man,33,GB-UKM - United Kingdom,Large town,23,The upper middle class of society,single
12281,"Poverty, hunger and lack of drinking water",8.0,Yes,2,2,1,2,1,centro-sx,Woman,37,GB-UKM - United Kingdom,Large town,21,The middle class of society,con patner e figli
12282,"Poverty, hunger and lack of drinking water",7.0,No,1,1,1,2,1,centro,Man,36,GB-UKM - United Kingdom,Large town,21,The lower middle class of society,con patner e figli
12283,"Poverty, hunger and lack of drinking water",8.0,No,2,2,2,2,2,centro-sx,Woman,30,GB-UKM - United Kingdom,Large town,28,The working class of society,con patner
12284,"Poverty, hunger and lack of drinking water",10.0,Yes,1,1,1,1,1,centro-sx,Woman,30,GB-UKM - United Kingdom,Large town,21,The middle class of society,single
12285,The increasing global population,9.0,No,1,2,1,1,2,centro,Woman,45,GB-UKM - United Kingdom,Small or middle sized town,40,The working class of society,single con figli
12286,The increasing global population,4.0,No,2,2,2,2,2,centro,Woman,55,GB-UKM - United Kingdom,Large town,23,The lower middle class of society,con patner
12287,Climate change,9.0,No,2,1,1,2,1,centro,Woman,37,GB-UKM - United Kingdom,Small or middle sized town,23,The lower middle class of society,con patner e figli
12288,Armed conflicts,5.0,No,2,2,1,1,1,centro-dx,Man,54,GB-UKM - United Kingdom,Small or middle sized town,16,The lower middle class of society,con patner
12289,International terrorism,5.0,Yes,1,1,1,1,1,centro,Woman,62,GB-UKM - United Kingdom,Rural area or village,16,The working class of society,single
12290,The economic situation,5.0,No,2,1,4,4,4,non-posizionabile,Man,82,GB-UKM - United Kingdom,Large town,14,dk,con patner
12291,"Poverty, hunger and lack of drinking water",5.0,Yes,1,1,1,1,1,centro-sx,Man,66,GB-UKM - United Kingdom,Large town,15,The working class of society,single
12292,Armed conflicts,8.0,No,1,1,1,1,1,centro,Man,42,GB-UKM - United Kingdom,Large town,16,The middle class of society,con patner e figli
12293,"Poverty, hunger and lack of drinking water",10.0,Yes,2,2,1,1,2,centro,Woman,73,GB-UKM - United Kingdom,Large town,15,The working class of society,con patner
12294,International terrorism,8.0,No,1,1,1,1,1,centro,Woman,36,GB-UKM - United Kingdom,Large town,23,The middle class of society,con patner e figli
12295,International terrorism,9.0,Yes,2,1,1,1,2,centro-dx,Woman,35,GB-UKM - United Kingdom,Large town,21,The working class of society,con patner e figli
12296,The economic situation,8.0,Yes,2,2,1,1,1,sx,Man,43,GB-UKM - United Kingdom,Large town,21,The working class of society,con patner
12297,Climate change,8.0,No,2,2,2,2,2,centro-sx,Woman,34,GB-UKM - United Kingdom,Large town,22,The middle class of society,con patner
12298,The economic situation,5.0,Yes,2,1,1,1,2,non-posizionabile,Man,49,GB-UKM - United Kingdom,Rural area or village,18,The working class of society,single con figli
12299,International terrorism,8.0,Yes,2,1,1,1,1,non-posizionabile,Woman,72,GB-UKM - United Kingdom,Rural area or village,16,The working class of society,con patner
12300,Armed conflicts,7.0,No,2,2,1,2,2,centro-dx,Man,44,GB-UKM - United Kingdom,Large town,44,The lower middle class of society,single
12301,International terrorism,9.0,No,2,2,1,1,1,centro,Man,57,GB-UKM - United Kingdom,Rural area or village,16,The working class of society,con patner
12302,Armed conflicts,1.0,No,2,1,1,1,3,centro-dx,Woman,58,GB-UKM - United Kingdom,Small or middle sized town,16,The working class of society,con patner
12303,"Poverty, hunger and lack of drinking water",8.0,No,2,2,1,1,1,centro-sx,Woman,84,GB-UKM - United Kingdom,Large town,84,The lower middle class of society,single
12304,The economic situation,7.0,No,2,2,2,2,2,centro,Man,31,GB-UKM - United Kingdom,Rural area or village,17,The working class of society,single
12305,The increasing global population,8.0,No,3,1,1,1,1,centro,Man,44,GB-UKM - United Kingdom,Large town,16,The working class of society,single
12306,International terrorism,9.0,Yes,2,2,2,2,2,centro-sx,Man,45,GB-UKM - United Kingdom,Large town,18,The middle class of society,con patner
12307,Climate change,10.0,Yes,1,1,1,1,1,sx,Man,42,GB-UKM - United Kingdom,Large town,21,The middle class of society,con patner
12308,Armed conflicts,10.0,Yes,2,2,1,2,2,centro-sx,Man,55,GB-UKM - United Kingdom,Large town,19,The middle class of society,con patner
12309,International terrorism,10.0,Yes,1,1,1,1,1,centro,Man,60,GB-UKM - United Kingdom,Large town,24,The upper middle class of society,con patner e figli
12310,Climate change,8.0,Yes,2,1,1,1,1,centro,Woman,20,GB-UKM - United Kingdom,Large town,0,dk,con patner
12311,"Poverty, hunger and lack of drinking water",10.0,Yes,2,3,1,1,1,centro,Man,40,GB-UKM - United Kingdom,Large town,21,The middle class of society,con patner e figli
12312,The increasing global population,4.0,No,4,3,2,2,3,centro,Man,69,GB-UKM - United Kingdom,Large town,18,The working class of society,con patner
12313,"Poverty, hunger and lack of drinking water",1.0,No,1,1,1,1,1,sx,Man,47,GB-UKM - United Kingdom,Large town,21,The lower middle class of society,con patner e figli
12314,International terrorism,10.0,Yes,2,2,1,1,1,non-posizionabile,Woman,50,GB-UKM - United Kingdom,Large town,18,The middle class of society,con patner e figli
12315,International terrorism,8.0,Yes,1,1,1,1,2,dx,Woman,60,GB-UKM - United Kingdom,Large town,19,The lower middle class of society,single
12316,dk,3.0,No,2,2,2,2,2,non-posizionabile,Man,31,GB-UKM - United Kingdom,Large town,24,dk,con patner e figli
12317,"Poverty, hunger and lack of drinking water",10.0,Yes,1,2,1,1,1,non-posizionabile,Woman,60,GB-UKM - United Kingdom,Large town,15,The working class of society,single con figli
12318,The economic situation,6.0,Yes,2,2,1,1,1,centro,Man,45,GB-UKM - United Kingdom,Large town,25,The working class of society,con patner e figli
12319,The economic situation,8.0,Yes,2,2,1,1,1,centro,Man,21,GB-UKM - United Kingdom,Large town,19,The working class of society,single
12320,The economic situation,9.0,Yes,1,2,1,2,1,sx,Man,42,GB-UKM - United Kingdom,Large town,21,The working class of society,con patner e figli
12321,International terrorism,7.0,No,2,2,2,2,2,centro,Woman,30,GB-UKM - United Kingdom,Large town,30,The middle class of society,con patner e figli
12322,"Poverty, hunger and lack of drinking water",5.0,Yes,2,2,1,1,1,centro,Man,79,GB-UKM - United Kingdom,Large town,22,The lower middle class of society,con patner e figli
12323,Climate change,10.0,Yes,1,1,1,1,1,centro,Woman,75,GB-UKM - United Kingdom,Rural area or village,60,The middle class of society,single
12324,The economic situation,7.0,Yes,4,2,1,1,1,centro,Woman,74,GB-UKM - United Kingdom,Large town,17,The working class of society,single
12325,International terrorism,9.0,Yes,1,1,1,1,1,centro,Woman,24,GB-UKM - United Kingdom,Large town,19,The working class of society,con patner e figli
12326,"Poverty, hunger and lack of drinking water",3.0,Yes,2,2,3,3,2,dx,Woman,55,GB-UKM - United Kingdom,Small or middle sized town,18,The middle class of society,con patner
12327,"Poverty, hunger and lack of drinking water",7.0,Yes,2,2,2,2,2,dx,Woman,80,GB-UKM - United Kingdom,Rural area or village,16,The middle class of society,con patner e figli
12328,Climate change,5.0,No,1,1,1,1,1,centro-sx,Woman,29,GB-UKM - United Kingdom,Large town,13,None (SPONTANEOUS),con patner
12329,Climate change,5.0,Yes,2,1,1,1,1,centro,Woman,45,GB-UKM - United Kingdom,Large town,16,The upper middle class of society,single con figli
12330,International terrorism,8.0,No,1,2,2,1,1,centro-sx,Man,49,GB-UKM - United Kingdom,Small or middle sized town,16,The working class of society,con patner e figli
12331,The increasing global population,8.0,Yes,1,1,1,1,1,centro-dx,Woman,76,GB-UKM - United Kingdom,Rural area or village,16,The working class of society,single
12332,Armed conflicts,10.0,No,2,1,1,1,1,centro,Man,17,GB-UKM - United Kingdom,Large town,0,The working class of society,single
12333,"Poverty, hunger and lack of drinking water",6.0,No,2,2,1,1,1,centro,Man,17,GB-UKM - United Kingdom,Large town,0,The working class of society,single
12334,International terrorism,7.0,Yes,1,1,1,1,2,centro-sx,Woman,58,GB-UKM - United Kingdom,Rural area or village,16,The working class of society,single
12335,The economic situation,10.0,No,1,1,1,1,1,centro,Woman,23,GB-UKM - United Kingdom,Large town,0,The middle class of society,single
12336,"Poverty, hunger and lack of drinking water",7.0,No,3,2,2,2,1,centro-dx,Man,71,GB-UKM - United Kingdom,Rural area or village,16,The working class of society,single
12337,"Poverty, hunger and lack of drinking water",7.0,No,1,1,1,1,2,centro-sx,Man,46,GB-UKM - United Kingdom,Large town,22,The working class of society,con patner e figli
12338,The increasing global population,8.0,No,2,2,2,2,2,sx,Woman,39,GB-UKM - United Kingdom,Small or middle sized town,18,The lower middle class of society,con patner e figli
12339,International terrorism,6.0,No,1,2,1,1,1,centro,Man,65,GB-UKM - United Kingdom,Large town,25,The working class of society,con patner e figli
12340,Climate change,8.0,No,1,1,1,1,1,centro,Woman,62,GB-UKM - United Kingdom,Rural area or village,15,The working class of society,con patner
12341,The economic situation,2.0,Yes,3,2,1,1,1,centro-sx,Woman,27,GB-UKM - United Kingdom,Rural area or village,17,The lower middle class of society,single con figli
12342,"Poverty, hunger and lack of drinking water",10.0,Yes,1,1,1,1,1,centro-dx,Woman,38,GB-UKM - United Kingdom,Rural area or village,18,The working class of society,single con figli
12343,dk,9.0,No,1,1,1,1,1,centro,Woman,30,GB-UKM - United Kingdom,Small or middle sized town,22,The middle class of society,con patner
12344,Climate change,9.0,Yes,2,2,1,1,1,centro,Woman,51,GB-UKM - United Kingdom,Small or middle sized town,16,The working class of society,single
12345,International terrorism,6.0,Yes,1,1,1,1,1,centro,Man,73,GB-UKM - United Kingdom,Large town,15,The working class of society,con patner
12346,Proliferation of nuclear weapons,10.0,Yes,2,2,1,1,1,centro,Woman,39,GB-UKM - United Kingdom,Rural area or village,16,The working class of society,con patner e figli
12347,International terrorism,7.0,Yes,2,1,1,1,2,centro-sx,Woman,57,GB-UKM - United Kingdom,Rural area or village,17,The working class of society,con patner
12348,"Poverty, hunger and lack of drinking water",5.0,No,2,2,1,1,1,centro,Woman,19,GB-UKM - United Kingdom,Small or middle sized town,16,The middle class of society,con patner
12349,"Poverty, hunger and lack of drinking water",7.0,No,2,2,2,2,2,centro,Woman,42,GB-UKM - United Kingdom,Rural area or village,17,The middle class of society,con patner e figli
12350,Climate change,10.0,Yes,1,1,1,1,1,dx,Woman,68,GB-UKM - United Kingdom,Rural area or village,18,The upper middle class of society,con patner
12351,Proliferation of nuclear weapons,7.0,No,2,2,1,1,1,non-posizionabile,Woman,70,GB-UKM - United Kingdom,Small or middle sized town,15,The working class of society,con patner
12352,"Poverty, hunger and lack of drinking water",10.0,Yes,1,1,1,1,1,centro,Woman,67,GB-UKM - United Kingdom,Large town,19,The working class of society,single con figli
12353,Climate change,10.0,Yes,1,2,1,1,1,centro,Man,31,GB-UKM - United Kingdom,Small or middle sized town,18,The working class of society,con patner e figli
12354,"Poverty, hunger and lack of drinking water",6.0,No,1,2,1,2,1,centro-sx,Woman,56,GB-UKM - United Kingdom,Small or middle sized town,16,The middle class of society,con patner e figli
12355,International terrorism,10.0,Yes,2,4,1,1,2,non-posizionabile,Man,66,GB-UKM - United Kingdom,Rural area or village,14,The working class of society,single
12356,"Poverty, hunger and lack of drinking water",10.0,Yes,2,1,1,1,1,sx,Man,30,GB-UKM - United Kingdom,Large town,18,The lower middle class of society,con patner
12357,Armed conflicts,8.0,Yes,2,2,2,2,2,centro-sx,Man,24,GB-UKM - United Kingdom,Large town,17,None (SPONTANEOUS),con patner
12358,International terrorism,1.0,No,2,2,2,2,2,centro-dx,Man,53,GB-UKM - United Kingdom,Large town,19,The working class of society,con patner e figli
12359,"Poverty, hunger and lack of drinking water",6.0,No,2,2,1,2,2,non-posizionabile,Woman,24,GB-UKM - United Kingdom,Small or middle sized town,23,The working class of society,single
12360,The increasing global population,10.0,Yes,1,1,1,1,1,centro-dx,Woman,38,GB-UKM - United Kingdom,Rural area or village,20,The middle class of society,con patner e figli
12361,The increasing global population,10.0,No,2,2,1,2,2,centro,Man,21,GB-UKM - United Kingdom,Small or middle sized town,18,The working class of society,single
12362,"Poverty, hunger and lack of drinking water",2.0,Yes,2,3,1,1,1,centro,Man,59,GB-UKM - United Kingdom,Small or middle sized town,16,The middle class of society,single con figli
12363,Climate change,10.0,Yes,2,1,1,1,1,centro,Woman,43,GB-UKM - United Kingdom,Small or middle sized town,18,The working class of society,con patner e figli
12364,Climate change,10.0,Yes,1,1,1,1,1,centro,Man,23,GB-UKM - United Kingdom,Large town,17,The lower middle class of society,single
12365,Other (SPONTANEOUS),6.0,Yes,2,2,1,1,1,non-posizionabile,Man,71,GB-UKM - United Kingdom,Rural area or village,18,The middle class of society,con patner
12366,"Poverty, hunger and lack of drinking water",10.0,Yes,1,1,1,1,1,non-posizionabile,Woman,67,GB-UKM - United Kingdom,Rural area or village,14,The working class of society,con patner
12367,The economic situation,7.0,No,1,1,1,1,1,centro,Woman,30,GB-UKM - United Kingdom,Small or middle sized town,21,The middle class of society,con patner e figli
12368,"Poverty, hunger and lack of drinking water",6.0,No,1,1,2,1,1,centro,Woman,47,GB-UKM - United Kingdom,Small or middle sized town,16,The middle class of society,con patner e figli
12369,Climate change,10.0,Yes,1,1,1,1,1,sx,Man,50,GB-UKM - United Kingdom,Rural area or village,21,The middle class of society,con patner e figli
12370,"Poverty, hunger and lack of drinking water",1.0,Yes,1,1,2,2,2,centro,Woman,45,GB-UKM - United Kingdom,Rural area or village,16,The working class of society,con patner e figli
12371,Climate change,7.0,Yes,1,1,2,2,2,sx,Woman,52,GB-UKM - United Kingdom,Small or middle sized town,17,The middle class of society,con patner
12372,"Poverty, hunger and lack of drinking water",8.0,Yes,1,1,1,1,1,dx,Woman,70,GB-UKM - United Kingdom,Rural area or village,16,The middle class of society,single
12373,International terrorism,7.0,Yes,2,2,1,1,2,centro,Woman,42,GB-UKM - United Kingdom,Small or middle sized town,17,The working class of society,con patner
12374,The increasing global population,7.0,Yes,3,3,1,1,1,centro,Woman,24,GB-UKM - United Kingdom,Rural area or village,21,The middle class of society,con patner
12375,None (SPONTANEOUS),3.0,No,2,2,2,2,2,dx,Man,44,GB-UKM - United Kingdom,Small or middle sized town,21,The lower middle class of society,con patner
12376,International terrorism,8.0,Yes,2,1,2,2,1,centro,Woman,34,GB-UKM - United Kingdom,Large town,18,The working class of society,con patner e figli
12377,International terrorism,10.0,No,2,2,1,3,2,centro-dx,Man,34,GB-UKM - United Kingdom,Large town,20,dk,con patner e figli
12378,International terrorism,8.0,Yes,2,2,2,1,1,centro,Woman,25,GB-UKM - United Kingdom,Large town,15,The middle class of society,single con figli
12379,Armed conflicts,3.0,Yes,2,2,2,2,2,centro-dx,Woman,85,GB-UKM - United Kingdom,Small or middle sized town,16,The middle class of society,single
12380,The increasing global population,6.0,No,1,2,1,2,1,centro,Man,46,GB-UKM - United Kingdom,Rural area or village,18,The working class of society,single
12381,"Poverty, hunger and lack of drinking water",10.0,Yes,1,4,1,1,1,centro-sx,Woman,42,GB-UKM - United Kingdom,Large town,24,The lower middle class of society,con patner e figli
12382,The increasing global population,10.0,Yes,1,1,1,1,1,dx,Man,69,GB-UKM - United Kingdom,Rural area or village,16,The middle class of society,con patner e figli
12383,"Poverty, hunger and lack of drinking water",8.0,Yes,1,1,1,1,1,centro,Man,59,GB-UKM - United Kingdom,Small or middle sized town,17,The working class of society,con patner
12384,International terrorism,6.0,Yes,2,2,1,2,1,centro,Man,73,GB-UKM - United Kingdom,Small or middle sized town,15,The lower middle class of society,con patner
12385,International terrorism,6.0,Yes,1,2,1,1,1,centro-sx,Man,22,GB-UKM - United Kingdom,Rural area or village,19,The middle class of society,con patner
12386,The increasing global population,10.0,No,2,2,1,2,2,centro-dx,Man,35,GB-UKM - United Kingdom,Small or middle sized town,20,The working class of society,con patner
12387,Climate change,7.0,Yes,2,2,2,1,2,centro,Man,38,GB-UKM - United Kingdom,Small or middle sized town,21,The middle class of society,single
12388,The increasing global population,7.0,Yes,1,2,1,1,1,centro,Woman,69,GB-UKM - United Kingdom,Rural area or village,16,The working class of society,con patner
12389,dk,10.0,Yes,2,2,1,1,1,centro,Woman,51,GB-UKM - United Kingdom,Small or middle sized town,19,None (SPONTANEOUS),single con figli
12390,Climate change,10.0,No,2,1,1,1,1,centro-dx,Man,63,GB-UKM - United Kingdom,Small or middle sized town,22,The lower middle class of society,con patner
12391,The increasing global population,9.0,Yes,1,1,2,1,2,centro,Woman,41,GB-UKM - United Kingdom,Rural area or village,21,The lower middle class of society,con patner e figli
12392,Climate change,10.0,Yes,1,1,1,1,1,centro-sx,Man,28,GB-UKM - United Kingdom,Rural area or village,20,The working class of society,con patner e figli
12393,International terrorism,9.0,Yes,2,2,2,2,2,centro,Man,31,GB-UKM - United Kingdom,Rural area or village,16,The working class of society,con patner e figli
12394,International terrorism,10.0,Yes,2,2,1,1,1,centro,Woman,38,GB-UKM - United Kingdom,Rural area or village,17,The middle class of society,con patner e figli
12395,"Poverty, hunger and lack of drinking water",10.0,Yes,2,1,1,1,1,dx,Woman,75,GB-UKM - United Kingdom,Rural area or village,16,The middle class of society,con patner
12396,"Poverty, hunger and lack of drinking water",9.0,No,2,1,1,1,1,centro-sx,Man,51,GB-UKM - United Kingdom,Rural area or village,16,The working class of society,single
12397,Armed conflicts,5.0,Yes,1,1,1,1,1,centro,Man,21,GB-UKM - United Kingdom,Small or middle sized town,16,The working class of society,con patner e figli
12398,Proliferation of nuclear weapons,10.0,Yes,1,1,1,1,1,centro,Man,85,GB-UKM - United Kingdom,Rural area or village,24,dk,single
12399,Climate change,10.0,No,1,2,1,1,1,centro,Man,17,GB-UKM - United Kingdom,Large town,0,The middle class of society,single
12400,"Poverty, hunger and lack of drinking water",8.0,No,2,2,2,1,1,dx,Man,41,GB-UKM - United Kingdom,Small or middle sized town,16,The middle class of society,con patner e figli
12401,International terrorism,6.0,Yes,2,2,2,2,2,non-posizionabile,Woman,74,GB-UKM - United Kingdom,Rural area or village,18,The lower middle class of society,single
12402,Climate change,7.0,No,2,1,1,1,1,centro,Woman,86,GB-UKM - United Kingdom,Small or middle sized town,15,None (SPONTANEOUS),single
12403,"Poverty, hunger and lack of drinking water",7.0,No,2,2,2,2,2,centro-dx,Woman,33,GB-UKM - United Kingdom,Rural area or village,18,The lower middle class of society,con patner e figli
12404,International terrorism,10.0,Yes,2,2,2,2,2,non-posizionabile,Woman,39,GB-UKM - United Kingdom,Rural area or village,18,The lower middle class of society,single
